@relation caracteristicas
@attribute zero_crossing integer
@attribute spectral_centroid integer
@attribute spectral_rolloff integer
@attribute mel_spectrogram integer
@attribute mfcc integer
@attribute chromagram integer
@attribute classe {Gato, Cachorro} string
@data
23,1046965,1437578,870,-6582,33,'Gato'
16,105509,192517,771,-347,4,'Gato'
18,946790,1764441,1408,-8128,41,'Gato'
15,862386,1561361,662,-7782,40,'Gato'
7,909625,1654794,503,-8060,43,'Gato'
1,930125,2044523,70,-2397,42,'Gato'
10,919464,1997419,101,-1924,43,'Gato'
16,879371,1901737,152,-1812,43,'Gato'
21,182387,300474,334,-371,6,'Gato'
12,345038,340633,2072,-4432,21,'Gato'
2,601112,1102478,74,-8175,43,'Gato'
5,368544,631148,1253,-2006,16,'Gato'
5,581021,1282000,10,-2211,29,'Gato'
5,908839,1537438,1159,-5595,42,'Gato'
12,893509,1634240,1,-5235,39,'Gato'
7,689971,1332883,2,-3684,30,'Gato'
4,197396,341850,1799,-1211,15,'Gato'
4,574824,1086328,3,-7507,40,'Gato'
15,132370,218723,399,-536,7,'Gato'
16,243812,431503,279,-1311,14,'Gato'
20,416492,524688,206,-4280,19,'Gato'
1,426380,889278,989,-380,22,'Gato'
29,111561,174074,112,-232,3,'Gato'
6,491029,856892,371,-3794,28,'Gato'
20,1338449,2081797,28,-7966,37,'Gato'
13,1301352,2035361,11,-8665,40,'Gato'
4,582719,1038244,22,-7297,39,'Gato'
3,37250,56180,523,47,5,'Gato'
20,1444002,2778687,1234,-8855,54,'Gato'
14,43506,61617,413,-409,4,'Gato'
2,378450,514482,807,-1318,21,'Gato'
13,97262,171005,469,-525,4,'Gato'
10,70372,91979,253,-437,3,'Gato'
17,90411,124063,142,-404,3,'Gato'
19,106466,168841,174,-346,3,'Gato'
16,242791,485530,377,-562,14,'Gato'
22,968749,2137213,60,-2287,43,'Gato'
12,1038197,2235997,30,-2425,43,'Gato'
6,309388,771330,340,244,15,'Gato'
13,191896,362489,352,-482,9,'Gato'
4,226755,466021,7,-508,7,'Gato'
1,173456,359335,1138,853,14,'Gato'
5,847559,1626230,495,-2073,43,'Gato'
7,650919,1301520,219,-1645,36,'Gato'
9,164007,321060,429,-142,7,'Gato'
0,116157,183398,326,-821,7,'Gato'
0,237064,519187,164,-1073,21,'Gato'
8,866548,1918533,360,-1974,43,'Gato'
16,124448,187155,536,-854,25,'Gato'
7,857193,1883218,233,-2719,43,'Gato'
0,536791,1071395,297,-2259,42,'Gato'
0,550212,1012394,758,-1455,43,'Gato'
4,631711,1134702,615,-1952,43,'Gato'
1,849075,1644706,440,-4000,36,'Gato'
23,673142,1032495,2296,-7990,26,'Gato'
6,664288,1040441,2678,-8398,27,'Gato'
11,733957,1058830,2580,-8494,30,'Gato'
17,79787,115837,236,-885,4,'Gato'
19,110033,196565,91,-161,4,'Gato'
11,772364,1429546,198,-4884,43,'Gato'
12,712281,962415,2,-7263,42,'Gato'
25,646476,889633,3,-6208,37,'Gato'
6,638717,819865,6,-6520,37,'Gato'
13,673592,994618,4,-5836,42,'Gato'
3,267271,390332,2,-2384,16,'Gato'
5,156342,257537,2,-1165,8,'Gato'
11,800154,1419748,892,-1726,43,'Gato'
16,1143683,2028933,874,-1296,47,'Gato'
10,139933,258549,85,-1050,9,'Gato'
10,405180,655147,322,-1713,15,'Gato'
6,467818,695554,2103,-5203,31,'Gato'
18,677482,1171686,88,-3685,39,'Gato'
9,506129,883959,126,-2853,43,'Gato'
6,288759,576820,2411,1453,23,'Gato'
38,772206,1305482,85,-4327,38,'Gato'
23,118725,214330,399,-459,5,'Gato'
7,880365,1351951,58,-5510,43,'Gato'
0,879561,1596299,66,-4169,39,'Gato'
5,691273,1540496,153,-2530,43,'Gato'
1,633962,1367756,194,-2492,43,'Gato'
7,1474508,2816349,1217,-5547,62,'Gato'
16,855462,1085521,2985,-8407,41,'Gato'
17,774730,968854,4280,-8685,43,'Gato'
8,727732,918563,4123,-8395,42,'Gato'
12,750948,1388514,277,-4733,34,'Gato'
30,938445,1843575,180,-3544,43,'Gato'
12,918028,1803125,257,-2538,39,'Gato'
11,1081738,2192801,398,-1196,40,'Gato'
9,165278,222104,192,-2654,9,'Gato'
11,111363,161552,217,-943,4,'Gato'
11,110174,169573,288,-593,3,'Gato'
19,716848,1509057,181,-2903,41,'Gato'
0,333512,452972,740,-2220,48,'Gato'
27,847097,1594867,952,-4109,43,'Gato'
3,739622,1365086,891,-3580,43,'Gato'
17,1313599,2284575,808,-7565,42,'Gato'
27,1058188,1906754,156,-6058,34,'Gato'
18,102781,113275,339,-2004,4,'Gato'
0,915499,1414257,38,-7787,63,'Gato'
0,726854,1509811,21,-4616,42,'Gato'
0,81493,174375,189,55,4,'Gato'
3,640039,1302844,688,-491,30,'Gato'
27,861478,2000531,408,-1379,42,'Gato'
12,863813,2058886,403,-1284,43,'Gato'
18,462674,1111640,176,-885,22,'Gato'
8,147313,245532,878,-666,11,'Gato'
15,1082102,2147301,2615,-2875,53,'Gato'
24,167996,345004,114,-635,5,'Gato'
5,790852,1358497,1203,-2867,42,'Gato'
15,728495,1294091,1686,-2790,43,'Gato'
15,175418,316871,133,-1772,7,'Gato'
25,851329,1295082,1920,-2163,32,'Gato'
21,1090386,2037977,57,-8075,34,'Gato'
24,1081580,2126468,1,-8614,38,'Gato'
14,84938,130975,302,-394,3,'Gato'
10,151848,262791,214,-344,4,'Gato'
11,97732,158656,133,-261,4,'Gato'
4,197575,399344,30,-881,6,'Gato'
5,978534,2149476,559,-3688,42,'Gato'
4,939899,2139635,445,-3888,43,'Gato'
2,939134,2133337,378,-3965,43,'Gato'
7,711185,1221912,1443,-7849,41,'Gato'
8,788980,1307646,686,-8895,43,'Gato'
9,815759,1305515,448,-9134,43,'Gato'
7,847310,917863,254,-13421,61,'Gato'
7,712554,1065021,616,-9069,41,'Gato'
6,101011,130598,834,-929,9,'Gato'
8,130140,202046,101,-1512,6,'Gato'
5,183586,376917,300,-654,10,'Gato'
1,83294,142011,333,-133,7,'Gato'
9,87791,137737,314,-857,4,'Gato'
7,776905,1571471,292,-3943,36,'Gato'
10,169478,207601,311,-2365,8,'Gato'
4,247412,379598,814,-1565,23,'Gato'
11,1504522,3077762,2008,1227,61,'Gato'
34,1540499,2633360,59,-3071,37,'Gato'
0,92432,63802,2337,-1764,26,'Gato'
3,223846,225011,535,-5398,33,'Gato'
3,353142,466882,239,-3382,29,'Gato'
10,103979,90676,482,-1208,7,'Gato'
9,230539,322201,1703,-2306,19,'Gato'
8,269705,351443,1541,-4221,17,'Gato'
6,139354,176862,454,-2190,14,'Gato'
5,143346,203187,1404,-2621,11,'Gato'
10,1150701,1861093,748,-10620,46,'Gato'
4,731009,1105008,622,-9438,42,'Gato'
8,390670,483517,4053,-7251,29,'Gato'
5,524012,633496,275,-8581,31,'Gato'
0,139659,221856,157,-1769,10,'Gato'
7,606971,609174,1388,-8912,42,'Gato'
12,1311705,2714109,3532,-1458,53,'Gato'
12,464534,749732,973,-2211,32,'Gato'
0,92663,160842,882,-802,7,'Gato'
9,576438,761909,1597,-7117,54,'Gato'
5,259190,393325,1226,-4130,24,'Gato'
5,136346,206158,451,-2183,12,'Gato'
7,118039,184690,295,-1756,10,'Gato'
10,102766,161197,276,-1566,9,'Gato'
7,153279,220015,306,-2484,13,'Gato'
6,115268,185842,200,-1728,9,'Gato'
5,256657,396501,1178,-4345,24,'Gato'
4,246953,372222,437,-3696,22,'Gato'
5,146031,226012,453,-1965,13,'Gato'
6,93807,133021,227,-1220,7,'Gato'
10,369660,474968,900,-4554,25,'Gato'
8,82414,116397,140,-1182,6,'Gato'
9,103769,159927,464,-1395,9,'Gato'
8,110331,159496,642,-1595,10,'Gato'
7,157703,265181,3238,-2643,16,'Gato'
11,644851,935143,688,-4580,37,'Gato'
9,105815,152681,248,-1930,9,'Gato'
8,137061,211789,2208,-2186,13,'Gato'
7,87909,128101,461,-1239,8,'Gato'
4,218571,345995,1034,-4083,22,'Gato'
5,178981,276044,446,-3229,16,'Gato'
6,127023,194498,580,-1856,11,'Gato'
5,103287,161359,193,-1825,9,'Gato'
8,147794,220015,489,-2549,13,'Gato'
2,466757,448547,364,-5703,26,'Gato'
6,104467,165041,188,-1669,8,'Gato'
6,126746,189050,580,-2018,11,'Gato'
7,181676,261273,575,-3170,14,'Gato'
5,151608,233226,669,-3013,14,'Gato'
5,89500,123288,406,-2101,9,'Gato'
4,185864,288060,3268,-2482,18,'Gato'
9,153308,246576,507,-2944,15,'Gato'
8,170154,248137,217,-2908,14,'Gato'
9,212335,334238,1241,-3729,19,'Gato'
11,156181,236628,333,-2444,11,'Gato'
7,89989,140450,200,-1442,6,'Gato'
14,123625,195058,472,-1793,9,'Gato'
8,100124,158764,272,-1402,7,'Gato'
9,112809,173880,357,-1697,9,'Gato'
7,186413,283527,4136,-2062,16,'Gato'
5,122878,190202,698,-2288,11,'Gato'
6,124115,189578,245,-2396,10,'Gato'
5,117758,173686,151,-2392,9,'Gato'
7,112679,173912,210,-1833,8,'Gato'
6,154941,251820,3861,-2419,16,'Gato'
9,84983,116171,403,-936,7,'Gato'
13,89445,136908,226,-864,6,'Gato'
12,88387,135077,209,-998,6,'Gato'
13,700106,534464,193,-13374,40,'Gato'
11,530922,431439,240,-10506,33,'Gato'
14,588741,808248,805,-2760,26,'Gato'
9,125390,130641,217,-1539,7,'Gato'
0,452965,627046,552,-6060,42,'Gato'
7,725754,841129,3094,-13845,56,'Gato'
5,325165,614891,1380,122,22,'Gato'
